Artist,Listeners,Daily Trend,Peak,PkListeners
Merk & Kremont,"42,92,348","-8,004",2396,"44,12,388"
Parson James,"42,91,689","7,463",2480,"42,93,608"
Christopher Jackson,"42,86,251","43,947",2493,"42,86,251"
Rush,"42,85,059","5,048",2265,"42,85,059"
YBN Nahmir,"42,81,434","-3,328",1995,"46,84,202"
Jos̩ Luis Perales,"42,79,952","1,953",2291,"43,61,097"
Olamide,"42,79,241",-415,2384,"43,01,258"
Shalmali Kholgade,"42,77,053","6,831",1926,"47,17,659"
La Receta,"42,76,935","-22,632",2405,"44,01,754"
Violet Days,"42,74,633","-37,993",2029,"49,74,853"
