Artist,Listeners,Daily Trend,Peak,PkListeners
The Red Jumpsuit Apparatus,"48,27,148","1,197",2022,"50,27,048"
Berlin,"48,26,450","28,056",2011,"51,03,716"
Interplanetary Criminal,"48,24,456","-6,894",1073,"74,88,841"
Kaifi Khalil,"48,23,063","-12,103",1038,"82,00,279"
Lary Over,"48,22,864","1,887",2112,"48,22,864"
Vaundy,"48,22,765","-11,697",1729,"54,03,418"
grandson,"48,20,183","-6,167",1577,"58,25,965"
Bo Burnham,"48,19,390","-4,867",1526,"56,27,655"
High School Musical Cast,"48,16,816","1,876",1942,"50,91,827"
Jordin Sparks,"48,16,125","-8,730",1761,"52,68,538"
Bnxn,"48,15,532","4,139",2053,"48,84,497"
Jon Bellion,"48,13,559","-8,709",1985,"51,47,100"
Lil Tracy,"48,13,067","3,737",1858,"49,23,272"
Pyotr Ilyich Tchaikovsky,"48,11,098","8,811",1732,"51,42,640"
MC Kevinho,"48,10,116","-10,265",1731,"51,46,965"
Village People,"48,09,330","-24,428",1958,"51,02,547"
Alex Ubago,"48,08,251","-1,570",1862,"51,57,720"
Allman Brothers Band,"48,04,239",-684,1941,"51,49,134"
Juicy J,"48,04,043","-6,171",1793,"51,78,030"
Belo,"48,03,946","4,483",2132,"48,38,289"
Alina Baraz,"48,02,092","-27,455",1636,"54,38,452"
Bappi Lahiri,"47,99,463",972,2118,"48,04,141"
Uncle Kracker,"47,98,977","-10,157",1758,"55,63,301"
BROCKHAMPTON,"47,96,550","-8,373",1563,"55,17,549"
Craig David,"47,93,065","-4,164",1691,"52,10,763"
WOS,"47,89,110","38,192",1514,"59,32,412"
Los Cadetes De Linares,"47,86,802","-7,037",1962,"50,29,952"
HRVY,"47,86,226","-20,555",1371,"61,99,179"
Sonny Fodera,"47,85,746","34,643",2168,"47,85,746"
CORBAL,"47,83,445",478,1784,"54,90,795"
Nic D,"47,82,775","-12,225",1825,"53,31,810"
Diego Verdaguer,"47,79,431","15,623",1906,"47,84,691"
T3R Elemento,"47,78,573","-3,724",1787,"52,18,275"
Nitesh Ujoli,"47,76,763","2,186",2192,"47,76,763"
Sunny Yaduvanshi,"47,74,197","2,465",2195,"47,74,197"
cade clair,"47,73,628","17,685",2196,"47,73,628"
Lou Bega,"47,72,301","-7,416",1983,"50,40,177"
Sheila On 7,"47,68,706","16,674",2182,"47,68,706"
Toledo,"47,66,349","-12,128",2096,"48,85,657"
Sorriso Maroto,"47,65,783","10,306",2010,"47,80,576"
Paolo Nutini,"47,65,689","-18,810",1851,"53,35,879"
Hensonn,"47,64,278","-1,788",1482,"58,21,605"
Lali,"47,63,808","96,371",2028,"47,63,808"
Chaka Khan,"47,60,898","8,308",1908,"52,08,319"
Grupo Los de la O,"47,59,681",842,1410,"60,73,733"
Os BarÃµes Da Pisadinha,"47,58,839","51,472",2006,"49,42,932"
Sefo,"47,58,090","1,867",2180,"47,58,090"
R.K.M & Ken-Y,"47,57,530","4,289",2203,"47,57,530"
Priya Saraiya,"47,54,079","-20,118",2049,"47,94,322"
MC Celo BK,"47,51,289","-61,876",1869,"53,76,329"
Ãejo & Dalmata,"47,46,009","1,939",2147,"47,62,211"
Corona,"47,42,504","-27,714",2103,"48,75,885"
Poppy Baskcomb,"47,40,296","-33,522",2114,"47,73,818"
Silambarasan TR,"47,39,561","5,496",1718,"51,67,480"
Los Abuelos De La Nada,"47,39,010","13,679",2215,"47,39,010"
Jaziel Avilez,"47,38,918","1,559",1551,"58,65,092"
Dylan Matthew,"47,38,551","-1,377",1884,"51,25,515"
$werve,"47,34,522","-8,719",1915,"52,13,646"
Lucas Estrada,"47,32,878","-7,969",1939,"51,57,720"
CÃ³digo FN,"47,31,146","1,04,238",2220,"47,31,146"
Yo-Yo Ma,"47,28,871","18,740",1730,"51,11,674"
Corey Kent,"47,28,144","-9,857",2139,"48,02,482"
Keala Settle,"47,25,694","-3,268",1863,"47,85,170"
Zak Abel,"47,24,878","-5,903",1922,"52,52,459"
A-Trak,"47,24,697","9,554",1953,"48,25,552"
Fabio Asher,"47,22,346","2,346",1945,"50,23,430"
Sickick,"47,21,533","-7,065",1462,"58,25,279"
Sanam,"47,20,811","23,548",1537,"60,25,452"
Gustavo Cerati,"47,20,541","-5,969",2146,"47,26,510"
Reynmen,"47,20,000","1,081",2070,"48,87,771"
Ado,"47,13,261","12,464",1979,"47,65,030"
Redbone,"47,12,187","-9,617",1522,"61,34,164"
Gabriela Rocha,"47,12,187","-19,597",2144,"47,42,504"
Royal Philharmonic Orchestra,"47,08,971","6,580",1941,"50,29,952"
Amy Macdonald,"47,08,703","15,490",2143,"47,08,703"
Tippu,"47,08,079","-4,018",2229,"47,12,097"
Bullet For My Valentine,"47,07,545","-7,150",2072,"48,79,133"
That Mexican OT,"47,06,743","34,150",2238,"47,06,743"
Fernando & Sorocaba,"47,06,476","23,145",2239,"47,06,476"
Kenny Beats,"47,04,609","14,817",1861,"48,60,726"
Ken-Y,"47,01,771","-23,289",1863,"53,08,388"
James TW,"47,01,062","-15,338",1526,"57,24,452"
Chimbala,"47,00,266","-21,538",1727,"51,81,944"
Richard Marx,"46,98,322","-11,541",2092,"47,47,951"
Los Invasores De Nuevo LeÃ³n,"46,96,029","-1,410",1922,"51,83,205"
Noah,"46,94,972","20,827",2246,"46,94,972"
The Greatest Showman Ensemble,"46,94,532","-5,822",1927,"47,49,155"
Roberta Flack,"46,93,477","25,526",2099,"48,43,245"
Chris Janson,"46,92,335","-39,631",1952,"51,43,719"
Pav Dharia,"46,91,457","10,300",1854,"51,95,758"
The Backseat Lovers,"46,90,405","-3,951",2057,"48,08,251"
putri dahlia,"46,88,654","-45,046",1559,"59,03,604"
Stacey Ryan,"46,88,479","-29,180",984,"79,32,194"
MC Caverinha,"46,86,731","-50,995",1335,"69,57,816"
Hugh Jackman,"46,86,557","7,222",1859,"49,76,809"
Iggy Pop,"46,86,033","6,438",1752,"51,57,583"
Caio Luccas,"46,84,289","-5,415",2144,"47,41,031"
Janieck,"46,84,289","15,909",2255,"46,84,289"
Grupo Mojado,"46,83,854","-24,314",2068,"47,57,530"
Gigamesh,"46,83,505","-1,568",2249,"46,85,073"
Mano,"46,81,071","6,581",2260,"46,81,071"
Rupert Holmes,"46,80,810","-1,651",1950,"50,24,394"
Manni Sandhu,"46,80,723","-2,521",2178,"46,83,244"
Imran Khan,"46,78,295","4,581",1911,"51,89,110"
Michel TelÃ³,"46,76,564","-10,953",1977,"51,19,957"
Mijares,"46,75,872","-13,220",1902,"47,79,908"
Lil Mabu,"46,75,181","-11,987",1043,"84,04,295"
Jon Batiste,"46,74,490","2,413",1709,"53,52,576"
Kaash Paige,"46,72,507","13,778",1802,"49,84,901"
Erik Satie,"46,72,421","14,033",1914,"48,23,660"
Switch Disco,"46,69,668","-6,809",1888,"52,50,840"
Jaden,"46,69,410","-9,752",1588,"60,77,159"
MUPP,"46,64,783","6,395",1427,"59,57,353"
Joel De La P,"46,61,794","-14,597",1488,"63,90,957"
Carly Pearce,"46,60,090","-22,023",2257,"46,82,113"
Roisee,"46,59,920","-70,497",768,"1,05,15,606"
SCH,"46,55,927","-14,171",2029,"49,73,934"
Naresh Kamath,"46,55,757","-42,830",2179,"47,82,679"
Barry White,"46,53,640","11,361",2122,"46,53,640"
OBOY,"46,51,526","2,951",2142,"46,52,456"
Leon James,"46,47,229","5,536",2100,"46,78,382"
The Magician,"46,45,212","-5,217",2047,"48,98,295"
BjÃ¶rn Skifs,"46,41,777","-18,483",1809,"53,34,470"
Prabh Singh,"46,41,693","63,299",2284,"46,41,693"
S.P. Charan,"46,40,105","7,325",2148,"46,40,105"
Jawsh 685,"46,39,354",-250,1702,"52,73,265"
Paresh Kamath,"46,38,603","-42,468",2190,"47,65,972"
R. Kelly,"46,37,769","-1,835",1983,"47,60,711"
Tesher,"46,37,769","-21,385",1936,"51,97,888"
Morray,"46,37,686",584,1797,"50,98,530"
Rixton,"46,34,524","10,499",1796,"49,12,819"
Conrad Sewell,"46,28,807","-12,468",2127,"47,50,546"
Tom Misch,"46,27,651","18,166",2293,"46,27,651"
Thin Lizzy,"46,24,354","-1,482",1943,"50,17,189"
Zahrah S Khan,"46,24,190","-2,058",1844,"50,82,233"
Anson Seabra,"46,21,971","8,666",1598,"55,23,997"
Kid Ink,"46,20,248","-11,538",1620,"54,22,800"
cakal,"46,20,002",-820,2176,"47,30,599"
Nena,"46,19,183","-6,488",1902,"51,14,296"
NEIMY,"46,18,774","-4,593",2223,"46,95,676"
Guilherme & Santiago,"46,13,712","8,194",1850,"52,07,888"
Hadise,"46,13,468","-13,275",2234,"46,84,463"
Hollywood Undead,"46,05,356","-9,823",1941,"49,43,266"
DVBBS,"46,03,419","-20,277",1374,"62,40,761"
Arem Ozguc,"46,01,565","-6,785",1638,"54,96,761"
Arman Aydin,"46,01,404","-6,703",1639,"54,96,094"
Pooh Shiesty,"45,99,956","23,214",1883,"49,04,511"
Claptone,"45,94,344","-5,853",2118,"46,03,177"
Sam Tompkins,"45,93,385","4,464",1783,"55,37,551"
Super Yei,"45,91,549","16,064",2005,"50,59,685"
Pablo Chill-E,"45,90,433","11,172",1871,"48,65,064"
Anna Kendrick,"45,89,796","-1,434",1928,"47,44,993"
Grupo RevelaÃ§Ã£o,"45,89,558","39,751",2129,"45,89,558"
Mitchell Tenpenny,"45,89,160","-36,017",1988,"49,39,926"
Nico & Vinz,"45,85,982",635,1655,"57,13,984"
Inspector,"45,79,576","8,089",2302,"45,79,576"
Ammy Virk,"45,79,261","13,936",1632,"58,96,835"
DÃ­melo Flow,"45,76,034","-9,234",1562,"55,16,943"
Ken Carson,"45,75,485","5,093",2156,"45,75,485"
RunâD.M.C.,"45,74,150","-20,754",2103,"47,42,872"
James Brown,"45,70,470","-11,790",2000,"48,27,748"
Warren Zeiders,"45,67,972","24,963",2322,"45,67,972"
DJ Ak beats,"45,67,583","15,935",1312,"63,59,873"
Liana Flores,"45,65,636","8,446",2017,"45,65,636"
Fabolous,"45,61,211","-1,395",1784,"54,76,866"
Monica,"45,61,056","-7,852",2124,"46,39,354"
Madcon,"45,60,978","13,850",1804,"54,53,974"
Alexis y Fido,"45,59,585","7,400",2048,"46,38,186"
Rick Springfield,"45,59,276","-2,555",2230,"45,87,649"
Emir Can Ä°Ärek,"45,58,425","-14,628",1773,"55,58,046"
A Great Big World,"45,57,885","-4,101",1945,"48,36,877"
Divya Kumar,"45,57,653","8,842",1374,"61,09,192"
Los Gemelos De Sinaloa,"45,57,576","30,960",1584,"55,50,154"
XG,"45,53,184","-35,578",1731,"54,28,551"
MC Davo,"45,53,184","31,429",1744,"51,11,019"
Tiziano Ferro,"45,52,723","-13,380",2247,"46,25,836"
Cheap Trick,"45,52,646","-5,393",1925,"50,65,809"
Daniel Hope,"45,52,416","-1,537",1855,"48,21,970"
Against The Current,"45,51,725","-21,250",2022,"49,88,854"
Mc Tato,"45,50,957","-9,015",1247,"65,97,357"
Geolier,"45,48,122",-307,2081,"48,57,946"
Chani Nattan,"45,46,364","5,485",1464,"63,73,045"
Mani Sharma,"45,45,830","10,105",2343,"45,45,830"
Bryce Vine,"45,44,533","-23,361",1862,"50,80,579"
Dent May,"45,44,304","34,198",2345,"45,44,304"
Aleks Syntek,"45,43,313","12,491",2010,"45,43,313"
Luca-Dante Spadafora,"45,43,161","29,137",2347,"45,43,161"
Adie,"45,41,183","-11,079",1985,"48,21,374"
Ananya Bhat,"45,41,031","-3,578",1890,"51,81,804"
Ben Howard,"45,40,575","-1,749",2045,"48,44,361"
Pixote,"45,39,057","37,988",2351,"45,39,057"
Barbra Streisand,"45,36,860","-8,283",1956,"47,46,471"
Ludwig GÃ¶ransson,"45,35,876","4,979",2264,"46,21,889"
Mukesh,"45,34,440","14,921",2195,"46,46,052"
Niska,"45,33,157","10,581",1850,"49,82,351"
Major RD,"45,22,650","-62,856",1997,"51,16,399"
Amanda Seyfried,"45,21,233","-5,682",2014,"48,32,052"
Ranjith Govind,"45,21,083","12,452",2358,"45,21,083"
Tedua,"45,19,147",670,2101,"48,01,605"
Luther Vandross,"45,18,328","11,022",2129,"45,88,523"
MERO,"45,16,990","1,781",1954,"46,42,530"
ZHU,"45,14,320","38,261",2175,"45,57,035"
jnhygs,"45,14,098","15,586",2363,"45,14,098"
Ray LaMontagne,"45,14,024","-7,731",2098,"45,31,499"
Poison,"45,11,065","18,520",2278,"45,14,172"
Four Tet,"45,10,844","-33,460",1632,"59,25,530"
JosÃ© Feliciano,"45,04,880",294,1916,"47,53,427"
Wheatus,"45,04,440","23,010",2015,"45,11,583"
PnB Rock,"45,03,706","-2,055",1634,"53,50,593"
DYSTINCT,"45,03,633","-11,428",1994,"50,19,225"
Vegedream,"45,00,192","-6,452",1823,"48,98,402"
Nadson O Ferinha,"45,00,192","10,328",2339,"45,10,327"
Kanishk Seth,"44,96,543","6,969",2205,"46,36,769"
Vicentico,"44,95,815","-11,638",2150,"45,15,358"
LIZOT,"44,95,015","-15,238",1879,"48,74,944"
Peter Plate,"44,95,015","14,375",2376,"44,95,015"
Showtek,"44,94,361","7,749",2018,"49,26,998"
Blind Melon,"44,92,763","-11,530",2165,"45,43,085"
Mustafa Zahid,"44,89,068","72,166",2379,"44,89,068"
Dan Caplen,"44,88,056","-1,591",2143,"46,39,521"
fam0uz,"44,87,261","10,202",2313,"45,11,435"
Yovie Widianto,"44,82,076","-12,139",1822,"53,35,015"
Hypaton,"44,79,350","-17,849",2010,"48,30,949"
Dybbukk,"44,79,278","-12,034",1629,"54,38,489"
Carpenters,"44,77,918","6,705",1985,"46,05,437"
Disco Lines,"44,76,702","-15,988",2059,"48,94,882"
Ulf Leo Sommer,"44,75,987","15,174",2387,"44,75,987"
Staind,"44,74,988",214,2078,"48,67,240"
Vicetone,"44,73,206","-7,076",2085,"46,94,092"
Ben&Ben,"44,72,921","-2,067",1859,"50,59,186"
Olivia O'Brien,"44,72,778","-3,281",1640,"53,63,511"
Shiraz Uppal,"44,71,924","7,161",1842,"52,92,492"
Julien Marchal,"44,71,426","-21,046",1664,"53,36,898"
RubÃ©n Blades,"44,69,863","-3,984",2145,"45,38,678"
Aloe Blacc,"44,65,470","-14,166",1806,"48,89,570"
Kapil Kapilan,"44,62,433","66,915",2396,"44,62,433"
Kontra K,"44,62,010","-19,348",2382,"44,81,358"
Ali Sethi,"44,61,658","-7,353",1572,"56,97,972"
Pouya,"44,54,776","-8,010",2129,"45,84,951"
Ayparia,"44,53,028","-70,295",1723,"57,82,673"
t.A.T.u.,"44,52,888","4,392",1884,"49,06,555"
Xanemusic,"44,51,352","1,952",779,"94,45,482"
Nina Chuba,"44,50,864",-70,1538,"56,71,256"
Fran C,"44,49,818","-6,289",1961,"48,63,720"
Night Lovell,"44,48,913","-4,115",1945,"46,68,037"
Sophie and the Giants,"44,45,924","1,456",1778,"55,28,305"
ZÃ© Vaqueiro,"44,45,716","25,907",1582,"54,70,612"
Otto Knows,"44,42,806","9,164",2166,"46,99,382"
Ravi Basrur,"44,36,115","-8,561",1813,"49,69,465"
Lucas & Steve,"44,31,792","-17,887",1745,"52,93,950"
Harish Raghavendra,"44,30,287","6,000",2254,"45,01,874"
MÅnia,"44,29,740","10,811",2321,"44,29,740"
Blue Swede,"44,28,442","-14,433",1922,"50,80,070"
Gorgon City,"44,27,623","-8,973",2171,"46,88,042"
SXMPRA,"44,26,124",-681,1901,"51,08,927"
Hamza,"44,25,579","-15,844",1647,"55,20,810"
Ikka,"44,25,307","3,736",1667,"53,28,895"
Srinivas,"44,20,012","-1,898",2402,"44,21,910"
MÃ½a,"44,18,997","-12,521",2066,"49,59,677"
Take That,"44,18,862","-3,998",1952,"50,01,981"
Toni Braxton,"44,18,862","5,667",2024,"47,94,806"
Rich Music LTD,"44,18,118","-5,829",2034,"46,68,037"
Madan Mohan,"44,17,780","6,802",2423,"44,17,780"
Snakehips,"44,16,767","-22,309",1325,"64,35,806"
Shae Gill,"44,16,497",202,1660,"52,60,900"
Tay-K,"44,15,620","14,664",2008,"47,18,738"
Waylon Jennings,"44,14,811","2,086",2177,"45,97,628"
Shoti,"44,13,599","-10,620",2177,"47,58,745"
JoÃ£o Bosco & Vinicius,"44,08,832","34,141",2429,"44,08,832"
Djavan,"44,08,095","11,121",2334,"44,08,095"
Fedez,"44,07,894","-21,436",2150,"47,67,763"
CHVRCHES,"44,03,219","10,146",1762,"50,98,789"
DJ Yuri Martins,"44,01,888","-11,711",1743,"51,13,640"
Salt-N-Pepa,"43,99,893","-24,870",2249,"44,45,023"
Skank,"43,98,035","14,160",2137,"43,98,035"
Dhibu Ninan Thomas,"43,97,703","-6,316",2411,"44,06,423"
Manan Bhardwaj,"43,97,041","43,979",2281,"44,80,353"
Jon Secada,"43,92,941",263,1868,"47,89,785"
j-hope,"43,92,348","2,438",640,"1,08,03,011"
Joy Division,"43,92,150","11,476",2303,"44,13,666"
Pinguini Tattici Nucleari,"43,91,952","-22,118",2254,"46,35,688"
La T y La M,"43,91,293","-3,101",1683,"52,15,379"
Modest Mouse,"43,87,676","-3,485",2234,"46,48,070"
Afro Bros,"43,84,006","31,261",2325,"45,11,287"
thiarajxtt,"43,83,940","-6,234",1943,"51,23,659"
Mr Eazi,"43,83,417","2,025",1921,"50,05,526"
Twista,"43,79,827","19,754",2228,"43,79,827"
Naughty Boy,"43,77,548","36,988",1937,"47,17,299"
Kizz Daniel,"43,74,432","6,206",2125,"48,05,607"
Pinkfong,"43,71,131","-6,808",2358,"43,93,932"
Laura Branigan,"43,68,807","-7,247",1939,"51,88,828"
BIN,"43,68,162",-774,1959,"46,62,988"
DJ Scheme,"43,67,131","3,342",2164,"45,83,605"
Molotov,"43,59,370","3,764",2325,"43,73,784"
Hande Yener,"43,59,306","7,133",2328,"44,50,724"
TWISTED,"43,57,455","-13,546",923,"81,95,322"
Julio Iglesias,"43,53,126","-12,397",2363,"44,34,329"
I Prevail,"43,52,808","-1,971",2128,"46,85,946"
PNL,"43,49,511",126,1959,"48,85,974"
Damas Gratis,"43,49,068","-23,550",2230,"46,61,368"
Baby Bash,"43,47,930","-6,913",2055,"44,09,971"
Yellowcard,"43,46,982","-20,987",2165,"47,67,385"
Dj Chetas,"43,45,530","17,760",1874,"49,45,946"
Shruti Pathak,"43,45,467","-4,171",1767,"54,22,202"
ANOTR,"43,42,004","-3,211",2263,"45,65,636"
Meat Loaf,"43,40,434","-8,191",1842,"49,44,940"
La Sonora Dinamita,"43,38,616","-7,230",2300,"43,60,841"
NO1-NOAH,"43,35,550","-2,878",2187,"46,34,441"
lucaf.,"43,35,550","11,926",2113,"47,92,389"
Sebastian Ingrosso,"43,34,551","-7,391",2219,"44,42,806"
Puddle Of Mudd,"43,31,871","10,345",2195,"43,31,871"
Headie One,"43,27,832","-33,201",1561,"57,29,948"
Spandau Ballet,"43,25,602","7,154",2277,"43,28,825"
Rkomi,"43,22,636","-3,090",2290,"45,21,904"
Imogen Heap,"43,18,817","43,476",2475,"43,18,817"
Annalisa,"43,18,633","-4,929",2181,"47,02,214"
Travis Tritt,"43,18,141","8,262",2228,"45,96,505"
LegiÃ£o Urbana,"43,18,080","32,127",2371,"43,18,080"
Agust D,"43,15,441","-5,530",904,"88,23,983"
Seu Jorge,"43,12,748","20,880",2429,"43,12,748"
Drowning Pool,"43,09,452","5,409",2477,"43,09,452"
Onda Sabanera,"43,06,896",-304,2198,"46,79,162"
Mura Masa,"43,05,378","76,251",1860,"47,90,556"
SG Lewis,"42,98,481","1,266",1798,"50,53,596"
Grupo Recluta,"42,97,878","19,347",1573,"57,50,882"
Chalino Sanchez,"42,96,192","5,641",2363,"43,31,248"
Styx,"42,95,710","-2,349",2388,"43,75,989"
Kris Kristofferson,"42,94,989","13,258",2488,"42,94,989"
Tierry,"42,93,968","27,789",2228,"42,93,968"
Ritviz,"42,92,828","1,199",2386,"43,44,270"
